140 278594960 6011680 16381040 344 2570 6626 21322938 38493926 80953994 
80 243893592 6230115 16640679 360 2568 6750 22267251 39859506 80485105 
116 293422862 6393113 16763965 388 2810 7161.8 22833270 40710919 80920223 
132 280301336 6584045 18329021 336 2356 6438.6 23665344 43474947 90305591 
104 306018580 5825620 17105372 340 2528 6680 20164365 39059541 85154812 
88 304092324 6316636 18676974 334 2340 6364 21626632 42659929 92581387 
112 335045696 6327521 18525834 340 2476 6630 21594028 42367394 91286446 
88 490128150 7838155 22745229 336 2258 6333.8 27104204 52828946 114784272 
144 413866186 6098245 16535967 358 2710 7076 21572242 39243629 81115190 
132 265426114 5882418 15452352 344 2644 6994 21499862 38150853 74851760 
140 267574970 6098312 16767790 406 2724 7088.2 21890020 39348016 81754414 
96 363818120 7953241 21266072 434 2901.5 7500 28327022 51024954 104036435 
124 303927864 6191995 17697263 356 2474 6649.8 21713774 41169696 85510338 
98 416266280 8771828 24999813 340 2498 6872 30439759 57848147 125821609 
138 269742638 6265053 16331086 426 2808 7674 22514452 39076918 79531837 
102 447880724 8485587 24496342 334 2360 6646 29128082 56737769 120654361 
136 277561108 6142208 16062005 350 2799.5 7424 22067862 38712706 78127110 
